"title","Description","image","category","Health","Armour","Weight","Cost","length","width","height","relativeBuoyancy","emptySpaceBuoyancy","empSusceptibility","empDamageTaken","empDamageReduction","Flammability","Fire Resistance","maxStructuralArmourBoost","extraLengthHealth","dragStopper","dragFront","dragBack","dragTop","dragBottom","dragLeft","dragRight","GUID","radarReturn","Volume Factor","Buoyancy Factor","waterTight","explosionOnDeath","placeableOnFortress","placeableOnStructure","placeableOnVehicle","placeableInPrefab","placeableOnSubConstructable","allowsExhaust","allowsVisibleBandTransmission","allowsIrBandTransmission","allowsRadarBandTransmission","allowsSonarBandTransmission","mesh1","mesh2","mesh3","mesh4","mesh5","mesh6","mesh7","mesh8","mesh9","mesh10","mesh11","mesh12","mesh13","mesh14","mesh15","mesh16","mesh17","mesh18","mesh19","mesh20","mesh21","mesh22","mesh23","mesh24","mesh25","mesh26","mesh27","mesh28"
"Alloy Plate","A thin plate of alloy useful for covering up exposed components.","Alloy Plate.png","Building blocks","60","35","1","1","1","1","1","36.5","37.5","0","100","3","20","40","0","0","False","0.1","0.1","1","1","0.1","0.1","f675b19a-4a67-41de-bd60-651bac2cfe17","0.2","1","1","True","0","True","True","True","True","0","False","False","False","False","False"
"Anchor Heavy","A decorative heavy anchor for larger vessels.","Anchor Heavy.png","Decorations","1000","10","200","8","1","1","4","-46.2","150","0","100","2","60","10","0","0","True","0.2","0.2","0.2","0.2","0.2","0.2","46d84cec-6e14-4028-8aa4-e38ee045af77","3","1","1","True","0","True","True","True","True","0","False","False","False","False","False"
"Anchor LWT","A decorative lightweight anchor for small vessels.","Anchor LWT.png","Decorations","500","10","70","4","1","1","2","6.3","75","0","100","2","60","10","0","0","False","0.2","0.2","0.2","0.2","0.2","0.2","40f703cc-4dd4-42dd-864e-b10d9299a059","3","1","1","True","0","True","True","True","True","0","False","False","False","False","False"
"Applique Panel","A cheap, disposable armour add-on.","Applique Panel.png","Building blocks","125","50","5","2","1","1","1","-1.2","3.8","0","100","3","20","40","0","0","True","1","1","1","1","1","1","51f8afc5-b071-4639-9f96-693b952fdf80","0.3","0.1","1","True","0","True","True","True","True","0","False","False","False","False","False"
"Cargo Container","Ability to store a large amount of material.","Cargo Container.png","Resources","15000","5","2430","115","6","3","3","-358.8","2025","0","100","2","200","20","0","0","True","1","1","1","1","1","1","438b4494-6746-4223-93a1-3a75b08bd5b6","0.3","1","1","True","0","True","True","True","True","0","False","False","False","False","False"
"Chain Large","A strong chain.","Chain Large.png","Decorations","300","10","40","2.5","1","1","1","-29.9","9.4","0","100","2","60","10","0","0","True","0.33","0.33","0.33","0.33","0.33","0.33","e3dcb476-5dae-4d64-ad60-e25b69009ab8","0.3","0.25","1","False","0","True","True","True","True","0","False","False","False","False","False"
"Coal Pile Large","Ability to store a large amount of material.","Coal Pile Large.png","Resources","3000","5","540","24","2","3","2","-304.7","225","0","100","2","200","10","0","0","True","1","1","1","1","1","1","24013612-7711-4f1a-8e5a-d9c540aa4884","0.3","0.5","1","False","0","True","True","True","True","0","False","False","False","False","False"
"Coal Pile","Ability to store a large amount of material.","Coal Pile.png","Resources","1000","5","180","8","2","1","2","-101.6","75","0","100","2","200","10","0","0","True","1","1","1","1","1","1","0c0d49f3-83c0-41db-85f1-e7c27390cbdb","0.3","0.5","1","False","0","True","True","True","True","0","False","False","False","False","False"
"Door Bulkhead Alloy","A watertight door.","Door Bulkhead Alloy.png","Decorations","520","35","10","10.5","1","1","2","65.2","75","0","100","2","10","40","0","0","True","1","1","1","1","1","1","6f2ebbbc-6f9c-499e-8850-7725712e4cf2","0.3","1","1","True","0","True","True","True","True","0","False","False","False","False","False","Bulkhead Door"
"Door Bulkhead Metal","A watertight door.","Door Bulkhead Metal.png","Decorations","700","40","80","10.5","1","1","2","-3.5","75","0","100","2","0","40","0","0","True","1","1","1","1","1","1","9ea523b6-af69-4809-b5e4-88351099b2dc","0.3","1","1","True","0","True","True","True","True","0","False","False","False","False","False","Bulkhead Door"
"Door Hatch Alloy","A decorative hatch.","Door Hatch Alloy.png","Decorations","300","35","5","5.5","1","1","1","32.6","37.5","0","100","2","10","40","0","0","True","1","1","1","1","1","1","83e3a5e9-cfb8-4a0c-9ced-6f53822cd2f1","0.3","1","1","True","0","True","True","True","True","0","False","False","False","False","False","Hatch Door"
"Door Hatch Metal","A decorative hatch.","Door Hatch Metal.png","Decorations","350","40","40","5.5","1","1","1","-1.7","37.5","0","100","2","0","40","0","0","True","1","1","1","1","1","1","a8fcb3c2-49bb-4a0c-970e-2c200f9c6c0d","0.3","1","1","True","0","True","True","True","True","0","False","False","False","False","False","Hatch Door"
"Ladder","A simple ladder. Walk against to climb.","Ladder.png","Decorations","80","4","3","2","1","1","1","34.6","37.5","0","100","2","60","10","0","0","False","0.1","0.1","0.1","0.1","0.1","0.1","6c2979f0-365a-4e9c-88ee-7b9d931409cb","0.3","1","1","False","0","True","True","True","True","0","False","False","False","False","False"
"Mannequin","A purely Decorative Block. Mannequins can be configured in to different positions.","Mannequin.png","Decorations","100","2","4","1.5","1","1","2","71.1","75","0","100","2","60","10","0","0","True","1","1","1","1","1","1","c613bc5d-5018-4961-bf19-d3e2ec694b59","0.3","1","1","True","0","True","True","True","True","0","False","False","False","False","False","Mannequin foot right","Mannequin foot left","Mannequin leg lower right","Mannequin leg lower left","Mannequin leg upper right","Mannequin leg upper left","Mannequin torso upper","Mannequin arm upper right","Mannequin arm upper left","Mannequin arm lower right","Mannequin arm lower left","Mannequin hand right open","Mannequin hand left open","Mannequin neck","Mannequin head","Mannequin torso lower","Mannequin head pirate hat","Mannequin hand left closed","Mannequin hand right closed","Mannequin head Diving Helmet","Mannequin head Chef Hat","Mannequin head Cat Ears","Mannequin head Cap Hat"
"Metal Plate","A thin plate of metal useful for covering up exposed components.","Metal Plate.png","Building blocks","70","40","8","1","1","1","1","29.7","37.5","0","100","1","0","40","0","0","False","0.1","0.1","1","1","0.1","0.1","ae37018a-2b07-422c-b281-87f10fb95d3c","0.5","1","1","True","0","True","True","True","True","0","False","False","False","False","False"
"Mimic: Cone","","Mimic: Cone.png","Unset or unrecognized block category","100","4","3","0","1","1","1","34.6","37.5","0","100","2","60","10","0","0","True","1","1","1","1","1","1","4c3752d8-5a61-46e7-bca6-f48b3c52f6be","0.3","1","1","True","0","True","True","True","True","0","False","False","False","False","False"
"Mimic Cube To Pole","","Mimic Cube To Pole.png","Unset or unrecognized block category","100","4","1","0","1","1","1","36.5","37.5","0","100","100","50","10","0","0","True","1","1","1","1","1","1","9e0e132f-7a81-46e9-9130-e824b8913576","0.3","1","1","True","0","True","True","True","True","2","False","False","False","False","False"
